"","sample.ID","well.ID","plate.id","Fish.ID","tissue","Population","Habitat.temp","Cam.Temp","Sex","top_substrate","group"
"A11.P2.R3R4G6.brain","A11.P2.R3R4G6.brain","A11","P2","R3R4G6","brain","SOC",28,"28","F","LKA","SOC.28"
"A12.P2.R3R5R6.brain","A12.P2.R3R5R6.brain","A12","P2","R3R5R6","brain","SOC",28,"28","M","FA","SOC.28"
"A3.P2.R1P3O4.brain","A3.P2.R1P3O4.brain","A3","P2","R1P3O4","brain","SOC",28,"12","F","GLU","SOC.12"
"A5.P2.R3O5G6.brain","A5.P2.R3O5G6.brain","A5","P2","R3O5G6","brain","OCE",32,"12","M","LKA","OCE.12"
"A6.P2.G1G2G6.brain","A6.P2.G1G2G6.brain","A6","P2","G1G2G6","brain","NOC",28,"12","M","FA","NOC.12"
"A8.P2.O2G5R6.brain","A8.P2.O2G5R6.brain","A8","P2","O2G5R6","brain","OCE",32,"28","M","GLU","OCE.28"
"A9.P2.P1G4G5.brain","A9.P2.P1G4G5.brain","A9","P2","P1G4G5","brain","NOC",28,"28","F","LKA","NOC.28"
"B10.P2.G1O5P6.brain","B10.P2.G1O5P6.brain","B10","P2","G1O5P6","brain","OCE",32,"28","M","LKA","OCE.28"
"B11.P2.G1R2P5.brain","B11.P2.G1R2P5.brain","B11","P2","G1R2P5","brain","NOC",28,"28","M","GLU","NOC.28"
"B3.P2.O2P4P5.brain","B3.P2.O2P4P5.brain","B3","P2","O2P4P5","brain","NOC",28,"12","F","FA","NOC.12"
"B5.P2.G2P3O6.brain","B5.P2.G2P3O6.brain","B5","P2","G2P3O6","brain","SOC",28,"12","F","END","SOC.12"
"B8.P2.P3R4G6.brain","B8.P2.P3R4G6.brain","B8","P2","P3R4G6","brain","SOC",28,"28","F","FA","SOC.28"
"B9.P2.O2R5R6.brain","B9.P2.O2R5R6.brain","B9","P2","O2R5R6","brain","OCE",32,"28","M","END","OCE.28"
"C10.P2.R2O3O5.brain","C10.P2.R2O3O5.brain","C10","P2","R2O3O5","brain","SOC",28,"28","M","LKA","SOC.28"
"C11.P2.P2G3P6.brain","C11.P2.P2G3P6.brain","C11","P2","P2G3P6","brain","NOC",28,"28","M","GLU","NOC.28"
"C12.P2.G2G3R5.brain","C12.P2.G2G3R5.brain","C12","P2","G2G3R5","brain","NOC",28,"28","F","LKA","NOC.28"
"C3.P2.O1R4G5.brain","C3.P2.O1R4G5.brain","C3","P2","O1R4G5","brain","NOC",28,"12","F","END","NOC.12"
"C4.P2.R1G2R5.brain","C4.P2.R1G2R5.brain","C4","P2","R1G2R5","brain","OCE",32,"12","M","LKA","OCE.12"
"C5.P2.G3O4G6.brain","C5.P2.G3O4G6.brain","C5","P2","G3O4G6","brain","SOC",28,"12","F","FA","SOC.12"
"C7.P2.G2O3O4.brain","C7.P2.G2O3O4.brain","C7","P2","G2O3O4","brain","NOC",28,"12","M","END","NOC.12"
"C9.P2.R1R2R6.brain","C9.P2.R1R2R6.brain","C9","P2","R1R2R6","brain","OCE",32,"28","F","LKA","OCE.28"
"D10.P2.R3O5O6.brain","D10.P2.R3O5O6.brain","D10","P2","R3O5O6","brain","NOC",28,"12","F","END","NOC.12"
"D11.P2.G1R4P6.brain","D11.P2.G1R4P6.brain","D11","P2","G1R4P6","brain","OCE",32,"28","M","LKA","OCE.28"
"D12.P2.R3G5O6.brain","D12.P2.R3G5O6.brain","D12","P2","R3G5O6","brain","OCE",32,"28","M","FA","OCE.28"
"D4.P2.O1P2R4.brain","D4.P2.O1P2R4.brain","D4","P2","O1P2R4","brain","NOC",28,"12","F","GLU","NOC.12"
"D6.P2.G3P4O5.brain","D6.P2.G3P4O5.brain","D6","P2","G3P4O5","brain","OCE",32,"12","M","FA","OCE.12"
"D8.P2.R3P5G6.brain","D8.P2.R3P5G6.brain","D8","P2","R3P5G6","brain","OCE",32,"28","M","LKA","OCE.28"
"D9.P2.P1G2R3.brain","D9.P2.P1G2R3.brain","D9","P2","P1G2R3","brain","SOC",28,"28","M","GLU","SOC.28"
"E10.P2.R3O4O6.brain","E10.P2.R3O4O6.brain","E10","P2","R3O4O6","brain","NOC",28,"28","F","FA","NOC.28"
"E3.P2.G2R4P6.brain","E3.P2.G2R4P6.brain","E3","P2","G2R4P6","brain","OCE",32,"12","M","LKA","OCE.12"
"E4.P2.R2R5G6.brain","E4.P2.R2R5G6.brain","E4","P2","R2R5G6","brain","SOC",28,"12","M","END","SOC.12"
"E7.P2.O1G2P3.brain","E7.P2.O1G2P3.brain","E7","P2","O1G2P3","brain","SOC",28,"12","M","GLU","SOC.12"
"E9.P2.G4G5R6.brain","E9.P2.G4G5R6.brain","E9","P2","G4G5R6","brain","NOC",28,"28","M","GLU","NOC.28"
"F10.P2.R2P5P6.brain","F10.P2.R2P5P6.brain","F10","P2","R2P5P6","brain","OCE",32,"28","F","GLU","OCE.28"
"F11.P2.G1O3R6.brain","F11.P2.G1O3R6.brain","F11","P2","G1O3R6","brain","SOC",28,"28","M","GLU","SOC.28"
"F4.P2.P2G3R5.brain","F4.P2.P2G3R5.brain","F4","P2","P2G3R5","brain","SOC",28,"12","F","END","SOC.12"
"F6.P2.O2O3G6.brain","F6.P2.O2O3G6.brain","F6","P2","O2O3G6","brain","SOC",28,"12","M","END","SOC.12"
"F7.P2.P3O5R6.brain","F7.P2.P3O5R6.brain","F7","P2","P3O5R6","brain","OCE",32,"12","M","LKA","OCE.12"
"F9.P2.R2O3G4.brain","F9.P2.R2O3G4.brain","F9","P2","R2O3G4","brain","SOC",28,"12","F","GLU","SOC.12"
"G10.P2.R1O2P6.brain","G10.P2.R1O2P6.brain","G10","P2","R1O2P6","brain","SOC",28,"28","F","END","SOC.28"
"G11.P2.R1P2O5.brain","G11.P2.R1P2O5.brain","G11","P2","R1P2O5","brain","NOC",28,"28","M","GLU","NOC.28"
"G12.P2.P3O4R6.brain","G12.P2.P3O4R6.brain","G12","P2","P3O4R6","brain","NOC",28,"12","F","GLU","NOC.12"
"G2.P2.G2P4R6.brain","G2.P2.G2P4R6.brain","G2","P2","G2P4R6","brain","OCE",32,"12","F","END","OCE.12"
"G3.P2.G2G4R5.brain","G3.P2.G2G4R5.brain","G3","P2","G2G4R5","brain","SOC",28,"12","M","END","SOC.12"
"G5.P2.R1G3O5.brain","G5.P2.R1G3O5.brain","G5","P2","R1G3O5","brain","NOC",28,"12","F","END","NOC.12"
"G6.P2.R1R4R6.brain","G6.P2.R1R4R6.brain","G6","P2","R1R4R6","brain","SOC",28,"12","M","FA","SOC.12"
"G7.P2.O1P5R6.brain","G7.P2.O1P5R6.brain","G7","P2","O1P5R6","brain","NOC",28,"12","F","END","NOC.12"
"G9.P2.R1R3G6.brain","G9.P2.R1R3G6.brain","G9","P2","R1R3G6","brain","OCE",32,"28","M","FA","OCE.28"
"H10.P2.O1O2R5.brain","H10.P2.O1O2R5.brain","H10","P2","O1O2R5","brain","NOC",28,"28","F","GLU","NOC.28"
"H11.P2.P3O5O6.brain","H11.P2.P3O5O6.brain","H11","P2","P3O5O6","brain","OCE",32,"12","M","FA","OCE.12"
"H12.P2.G2G3O5.brain","H12.P2.G2G3O5.brain","H12","P2","G2G3O5","brain","SOC",28,"12","M","END","SOC.12"
"H2.P2.G1P3P5.brain","H2.P2.G1P3P5.brain","H2","P2","G1P3P5","brain","SOC",28,"12","F","END","SOC.12"
"H3.P2.O3O4R6.brain","H3.P2.O3O4R6.brain","H3","P2","O3O4R6","brain","OCE",32,"12","F","END","OCE.12"
"H4.P2.G2G3O4.brain","H4.P2.G2G3O4.brain","H4","P2","G2G3O4","brain","OCE",32,"12","F","FA","OCE.12"
"H5.P2.O1R2G6.brain","H5.P2.O1R2G6.brain","H5","P2","O1R2G6","brain","OCE",32,"12","F","GLU","OCE.12"
"H7.P2.O2P3O6.brain","H7.P2.O2P3O6.brain","H7","P2","O2P3O6","brain","OCE",32,"12","M","GLU","OCE.12"
"H8.P2.O1O3R4.brain","H8.P2.O1O3R4.brain","H8","P2","O1O3R4","brain","NOC",28,"28","F","GLU","NOC.28"
"H9.P2.R1O2P4.brain","H9.P2.R1O2P4.brain","H9","P2","R1O2P4","brain","SOC",28,"28","M","LKA","SOC.28"
